article_id,expr_type,value,char_offset
1121.txt,deictic,last week,228
1121.txt,deictic,year,564
1121.txt,deictic,year,655
1121.txt,deictic,year,891
1122.txt,deictic,week,1050
1122.txt,deictic,year,1274
1122.txt,deictic,last Sunday,204
1123.txt,deictic,year,97
1123.txt,deictic,year,144
1123.txt,deictic,year,490
1123.txt,deictic,year,894
1123.txt,deictic,year,1517
1123.txt,deictic,last August,882
1124.txt,deictic,week,1057
1124.txt,deictic,last Saturday,971
1126.txt,deictic,Saturday,164
1126.txt,deictic,Saturday,510
1127.txt,deictic,year,184
1127.txt,deictic,next month,644
1127.txt,deictic,summer,730
1129.txt,deictic,fall,6
1129.txt,deictic,Friday,155
1130.txt,deictic,year,346
1130.txt,deictic,week,1442
1130.txt,deictic,Monday,162
1130.txt,deictic,Saturday,228
1131.txt,deictic,week,511
1131.txt,deictic,Sunday,111
1132.txt,deictic,next week,116
1132.txt,deictic,last year,606
1132.txt,deictic,year,726
1132.txt,deictic,year,1549
1132.txt,deictic,last year,1677
1132.txt,deictic,year,2149
1132.txt,deictic,last year,2349
1132.txt,deictic,year,2884
