article_id,expr_type,value,char_offset
883.txt,deictic,spring,243
884.txt,deictic,week,792
884.txt,deictic,last October,632
884.txt,deictic,Monday,191
886.txt,deictic,last week,1642
886.txt,deictic,spring,2148
886.txt,deictic,Thursday,532
886.txt,deictic,Thursday,1989
887.txt,deictic,Today,1456
887.txt,deictic,Today,2741
888.txt,deictic,year,168
888.txt,deictic,last week,703
888.txt,deictic,Thursday,341
889.txt,deictic,last week,2422
889.txt,deictic,Tuesday,525
891.txt,deictic,Monday,1446
892.txt,deictic,last year,1236
892.txt,deictic,year,1442
892.txt,deictic,year,1578
892.txt,deictic,year,2726
893.txt,deictic,Day,101
893.txt,deictic,Year,110
893.txt,deictic,Day,113
893.txt,deictic,Day,230
893.txt,deictic,year,460
893.txt,deictic,year,550
893.txt,deictic,Day,569
893.txt,deictic,Year,577
893.txt,deictic,Day,580
893.txt,deictic,Day,934
893.txt,deictic,Year,943
893.txt,deictic,Day,946
893.txt,deictic,Year,1373
893.txt,deictic,Day,1376
894.txt,deictic,Year,726
894.txt,deictic,year,1691
894.txt,deictic,year,1896
894.txt,deictic,year,2508
894.txt,deictic,last month,3218
894.txt,deictic,fall,2941
894.txt,deictic,Wednesday,1419
895.txt,deictic,year,1203
896.txt,deictic,Day,1578
896.txt,deictic,week,2471
897.txt,deictic,year,1007
897.txt,deictic,year,1106
897.txt,deictic,year,1312
897.txt,deictic,last year,1383
897.txt,deictic,year,2282
897.txt,deictic,year,2305
897.txt,deictic,summer,239
898.txt,deictic,year,816
900.txt,deictic,year,254
900.txt,deictic,year,311
900.txt,deictic,year,545
900.txt,deictic,year,717
900.txt,deictic,year,1481
900.txt,deictic,Thursday,137
901.txt,deictic,Wednesday,484
903.txt,deictic,Last week,2187
903.txt,deictic,Wednesday,498
903.txt,deictic,Thursday,114
904.txt,deictic,Last month,1190
904.txt,deictic,Next Friday,914
905.txt,deictic,week,246
905.txt,deictic,week,1540
905.txt,deictic,Saturday,1295
906.txt,deictic,year,2380
906.txt,deictic,next year,2442
906.txt,deictic,fall,1243
907.txt,deictic,year,351
908.txt,deictic,Today,1666
908.txt,deictic,last year,2738
909.txt,deictic,Today,845
909.txt,deictic,last June,1378
909.txt,deictic,summer,1692
909.txt,deictic,Thursday,2770
910.txt,deictic,Today,956
910.txt,deictic,Sunday,2284
911.txt,deictic,year,357
911.txt,deictic,fall,254
912.txt,deictic,year,188
912.txt,deictic,week,773
914.txt,deictic,year,1183
914.txt,deictic,year,1874
914.txt,deictic,Saturday,367
915.txt,deictic,year,1618
916.txt,deictic,Friday,91
917.txt,deictic,last month,1762
918.txt,deictic,next week,91
918.txt,deictic,next week,1455
919.txt,deictic,year,267
919.txt,deictic,year,902
919.txt,deictic,year,925
921.txt,deictic,Today,1844
921.txt,deictic,Thursday,1595
922.txt,deictic,week,279
922.txt,deictic,week,351
922.txt,deictic,Monday,135
922.txt,deictic,Monday,443
923.txt,deictic,year,980
923.txt,deictic,year,1094
924.txt,deictic,year,549
925.txt,deictic,year,708
925.txt,deictic,year,1040
925.txt,deictic,year,2535
925.txt,deictic,year,2615
926.txt,deictic,last year,1540
926.txt,deictic,Monday,2310
926.txt,deictic,Tuesday,1062
927.txt,deictic,Last month,993
928.txt,deictic,last year,4713
929.txt,deictic,next month,2434
929.txt,deictic,year,3842
929.txt,deictic,Wednesday,1114
929.txt,deictic,Thursday,4567
930.txt,deictic,year,97
930.txt,deictic,year,1193
930.txt,deictic,year,1349
930.txt,deictic,Wednesday,634
931.txt,deictic,last year,257
931.txt,deictic,year,1004
931.txt,deictic,Monday,2937
932.txt,deictic,week,95
932.txt,deictic,year,195
932.txt,deictic,week,371
932.txt,deictic,week,976
932.txt,deictic,next year,1433
933.txt,simple,2007-2008,1086
933.txt,deictic,year,2379
933.txt,deictic,spring,148
933.txt,deictic,fall,527
